Spent,Profit,Payouts,Plays
12,-12,0|0,🔺🦆🔺|🦆🦆🦆
18,-18,0|0|0,🃏🤔🔺|🦆🤔✨|🦆🃏✨
18,7,0|0|25,🦆🔺🦆|🔺🦆🦆|🦆🔺♾
18,7,25|0|0,🃏♾🔺|✨🦆🤔|✨🦆🤔
18,32,50|0|0,🤔♾♾|🔺🃏✨|🃏🤔✨
18,0,12|0|6,🃏🃏🦆|🃏🤔🦆|✨✨🤔
18,57,25|25|25,🔺🤔♾|🔺🤔♾|🔺🤔♾
18,7,0|0|25,🔺✨🃏|🤔🦆✨|✨♾🦆
18,-15,3|0|0,🤔🤔🤔|🃏🔺🤔|🤔🦆🃏
18,27,20|0|25,✨🔺🔺|🔺🦆✨|♾✨🔺
18,7,25|0|0,🦆✨♾|🔺🦆🤔|🤔🦆✨
18,7,25|0|0,🃏🔺♾|🦆🦆🃏|🤔🦆🔺
18,27,20|25|0,🦆🔺🔺|🤔♾🤔|🤔🃏🦆
18,-18,0|0|0,✨🔺🦆|🔺🦆✨|🃏🔺✨
18,2,0|20|0,🔺🃏✨|🔺🔺🤔|🤔🦆🦆
18,-17,1|0|0,🔺🤔🤔|✨🦆🦆|✨🔺🦆
18,-15,0|3|0,🤔✨🔺|🤔🤔🤔|🔺✨🃏
18,7,0|0|25,🤔🃏🦆|✨🔺🤔|🃏🦆♾
18,12,10|0|20,✨✨✨|🃏🦆🦆|🃏🔺🔺
6,-6,0,🦆🦆🦆
18,2,0|20|0,✨🔺🦆|🃏🔺🔺|✨🃏🔺
12,8,20|0,✨🔺🔺|🦆🦆🦆
18,-11,1|6|0,🤔🤔🦆|🤔✨✨|🔺✨🔺
18,-6,0|0|12,🔺🃏🔺|🦆✨🤔|🦆🃏🃏
18,-12,0|6|0,✨🤔✨|🤔✨✨|🔺🤔🦆
18,-5,0|1|12,✨🦆✨|🤔🤔🔺|🦆🃏🃏
18,-6,0|12|0,🔺🦆🦆|🃏🃏🤔|✨🔺🤔
18,-18,0|0|0,🃏🤔🦆|🔺🦆🃏|🦆🃏✨
18,7,25|0|0,🦆♾✨|🃏🔺🤔|🦆🦆🦆
18,7,0|25|0,🦆✨🔺|♾🃏🔺|🃏🦆🦆
18,-18,0|0|0,🦆🤔🦆|🤔🦆🔺|🔺🤔✨
18,2,20|0|0,🔺🔺✨|🤔🃏🔺|🦆🦆🦆
18,-18,0|0|0,🦆🔺🤔|🦆🃏🦆|✨🤔🦆
18,-17,0|1|0,🦆🦆✨|🤔🤔🦆|🦆🦆✨
18,8,25|1|0,♾✨🔺|🤔🤔✨|🤔🦆✨
18,-6,0|12|0,🤔🔺🃏|🔺🃏🃏|🤔✨🃏
18,-18,0|0|0,🦆🔺🤔|🦆🃏🦆|🦆🤔✨
18,2,0|0|20,🦆🔺✨|🔺🤔✨|🔺🔺🃏
18,38,50|0|6,♾♾🤔|🤔🔺🦆|✨✨🤔
18,13,6|0|25,🤔✨✨|🃏🤔🃏|♾✨🔺
18,27,25|0|20,🦆♾🔺|🤔✨🃏|🦆🔺🔺
18,57,0|50|25,🦆🦆🤔|🔺♾♾|🦆♾✨
18,-18,0|0|0,✨🤔🦆|🔺🤔🦆|🃏✨🦆
18,-18,0|0|0,🤔🔺🤔|🃏✨🤔|🦆🔺🤔
18,19,12|0|25,🃏🃏🦆|✨🦆🃏|🃏♾🃏
18,-18,0|0|0,🤔🔺🤔|✨🃏🔺|🦆🦆✨
18,-18,0|0|0,🔺🤔✨|🤔🔺✨|🃏🦆✨
18,-15,0|0|3,🦆🃏🦆|✨🤔🦆|🤔🤔🤔
18,2,0|0|20,🤔🔺🤔|🦆🔺✨|✨🔺🔺
18,-17,0|0|1,🤔🔺🦆|🦆🃏🤔|🤔🤔🦆
18,2,0|0|20,✨🔺✨|✨🤔🔺|✨🔺🔺
18,-12,6|0|0,🃏✨✨|🃏🤔🦆|🃏🔺🦆
18,33,25|25|1,♾✨🃏|♾✨🃏|🃏🤔🤔
18,-18,0|0|0,🤔🦆🦆|🦆🤔✨|🤔🦆🦆
6,-6,0,🦆🦆🦆
18,-6,0|12|0,🦆🦆♾|🔺🃏🃏|🔺✨🤔
18,-12,0|0|6,🔺✨🦆|🦆🃏🦆|✨✨🦆
18,7,0|25|0,🔺🤔🔺|🤔🦆♾|🃏🤔🦆
18,-18,0|0|0,🦆🃏✨|✨🃏✨|✨🔺🦆
18,-18,0|0|0,🤔🦆✨|🃏✨🔺|✨🦆🤔
18,14,20|6|6,🔺🔺🤔|✨✨🦆|✨✨🦆
18,-18,0|0|0,🦆🃏✨|✨🃏🦆|🦆🤔🃏
18,7,0|25|0,🤔🦆🤔|🦆🃏♾|✨🔺🦆
18,-18,0|0|0,🦆✨🤔|🔺🤔🔺|🦆🦆🃏
18,-18,0|0|0,🃏🤔✨|✨🤔🃏|🃏🦆🃏
18,-18,0|0|0,🔺🤔🦆|🃏🦆🔺|🃏✨🤔
18,17,10|0|25,✨✨✨|🦆🃏✨|♾🃏🔺
18,27,0|20|25,✨🔺🃏|🦆🔺🔺|🔺✨♾
18,7,0|25|0,🃏🔺🦆|♾✨♾|✨🦆✨
18,-18,0|0|0,🤔🦆🤔|🔺🦆🔺|🔺🦆🦆
18,13,0|6|25,🔺🦆🤔|🤔✨✨|🔺♾🤔
18,-12,0|6|0,🤔🔺🃏|🤔✨✨|🦆🦆🤔
18,19,0|25|12,🦆✨🃏|🤔♾🦆|🃏🃏✨
18,7,0|25|0,🔺🦆🦆|♾🦆🃏|🃏🤔✨
18,-18,0|0|0,✨🦆✨|🔺🦆🃏|✨🦆✨
18,7,0|25|0,🤔✨🦆|♾🦆♾|🦆🔺🦆
18,-17,1|0|0,🤔🤔🦆|🃏🦆🔺|🤔🦆🦆
18,2,0|20|0,🤔🦆🃏|✨🔺🔺|🃏✨🦆
18,-17,0|1|0,🦆🤔🃏|🤔🤔🔺|✨🔺🃏
18,-18,0|0|0,🃏✨🔺|🤔🦆🦆|🦆✨🤔
18,7,0|0|25,✨🤔🦆|🦆✨🦆|🃏🦆♾
18,2,20|0|0,🃏🔺🔺|🦆🤔🦆|✨🔺✨
18,27,0|20|25,🦆🔺🦆|🔺🔺🦆|🔺🤔♾
18,2,20|0|0,🔺🔺🃏|✨🦆✨|🤔🃏🦆
18,-18,0|0|0,✨🤔🦆|♾🦆🦆|🃏🤔🔺
6,-6,0,🦆🦆🦆
18,7,0|1|24,🤔🃏🔺|🦆🤔🤔|🔺🔺🔺
18,19,0|12|25,🤔🦆🦆|🃏🃏🦆|🦆♾🔺
18,-6,0|12|0,🦆✨🦆|🃏🃏🤔|🃏🤔🦆
18,-17,0|0|1,🦆🦆🤔|🦆🦆🤔|🤔🤔🃏
18,-12,6|0|0,🤔✨✨|🦆🃏✨|🔺🃏🦆
18,7,0|0|25,🔺🃏🦆|🤔🃏🦆|🦆✨♾
18,-18,0|0|0,🔺🤔✨|✨🦆🦆|✨🔺🤔
18,-18,0|0|0,🔺🃏🤔|✨🤔🃏|🔺🤔✨
18,7,0|0|25,🔺🦆🔺|🦆🔺🤔|♾🃏♾
18,-18,0|0|0,🦆🃏🦆|🦆🃏🔺|🃏🦆✨
18,19,12|0|25,🃏🃏🤔|🤔🔺🦆|✨♾🤔
18,32,50|0|0,🔺♾♾|🃏✨🦆|🤔🃏🔺
18,-5,12|1|0,🃏🃏✨|🤔🤔✨|🔺✨🃏
18,7,0|25|0,🃏🤔✨|♾🃏🃏|🃏✨🦆
18,-18,0|0|0,🤔🔺✨|🤔🃏🦆|🔺🤔✨
18,2,0|0|20,🦆✨🤔|🃏✨🦆|🤔🔺🔺
18,-18,0|0|0,✨🃏🤔|✨🤔🦆|🦆🃏🦆
18,8,6|0|20,✨✨🔺|✨🦆🤔|✨🔺🔺
18,7,25|0|0,✨♾🤔|🔺🦆✨|🃏🦆🦆
18,8,6|20|0,🤔✨✨|🃏🔺🔺|🃏✨🔺
18,-18,0|0|0,🦆🤔🦆|🦆🤔🔺|🤔🔺✨
18,-18,0|0|0,🃏🤔🦆|🦆🃏🦆|🔺🦆🤔
18,25,25|6|12,🤔✨♾|🦆✨✨|✨🃏🃏
12,13,25|0,🃏🦆♾|🦆🦆🦆
18,-18,0|0|0,🔺🤔🦆|✨🦆🔺|🦆🤔🦆
18,7,25|0|0,🦆♾🦆|🃏🤔🦆|🃏🦆🔺
12,-12,0|0,🦆🔺🦆|🦆🦆🦆
18,32,0|50|0,🔺✨🤔|♾♾🤔|🦆🃏✨
18,14,6|25|1,🦆✨✨|🔺✨♾|🤔🤔🦆
18,7,0|25|0,🦆🃏🦆|🤔♾🔺|🃏🤔🃏
18,-18,0|0|0,🔺🦆✨|🦆🃏🔺|🤔✨🔺
18,19,12|0|25,🦆🃏🃏|🃏🤔🔺|🤔✨♾
18,-14,0|3|1,🃏🔺🤔|🤔🤔🤔|✨🤔🤔
18,7,25|0|0,🦆♾🃏|🔺🦆🦆|🤔✨🦆
18,-18,0|0|0,🤔✨🃏|✨🃏🤔|✨🤔🦆
18,-17,0|1|0,🦆🦆✨|🤔🤔🦆|🃏🤔🃏
18,27,0|20|25,🦆✨🔺|✨🔺🔺|♾🃏✨
18,-18,0|0|0,✨🦆🦆|🃏🦆🔺|🦆🤔🦆
12,13,25|0,🃏🦆♾|🦆🦆🦆
18,32,0|25|25,🃏🦆🔺|♾✨🦆|♾✨🦆
18,1,6|12|1,✨✨🃏|🤔🃏🃏|🤔🤔🦆
18,57,25|25|25,♾🃏✨|♾🃏✨|♾🃏✨
18,-12,0|0|6,✨🔺🦆|🦆🦆✨|✨✨🃏
18,-18,0|0|0,✨🦆🃏|🤔✨🃏|🦆🔺🦆
18,-18,0|0|0,🃏🤔✨|🦆✨🃏|🦆🔺🃏
18,-18,0|0|0,✨🔺🦆|🤔🃏🔺|🦆🤔✨
12,13,25|0,♾🤔🃏|🦆🦆🦆
18,8,0|1|25,✨🤔🦆|✨🤔🤔|🤔🔺♾
18,-18,0|0|0,✨🔺✨|🦆🔺🃏|🔺✨🔺
18,-18,0|0|0,🦆🔺🦆|🔺✨🦆|✨🃏🔺
18,-18,0|0|0,🦆🦆🔺|🦆🤔🃏|🦆🃏🤔
18,-18,0|0|0,🤔✨🦆|🦆🦆✨|🤔🦆✨
18,7,0|0|25,🤔✨🤔|🔺✨🔺|✨♾🦆
18,-17,1|0|0,🤔🤔✨|✨🃏🦆|✨🔺✨
18,27,25|20|0,✨♾🦆|🤔🔺🔺|🤔🦆🦆
18,-17,1|0|0,🤔🤔🔺|🦆🔺🦆|🤔🦆✨
18,32,25|0|25,🤔♾🦆|🦆🦆🤔|🤔♾🦆
18,-18,0|0|0,🦆🤔🃏|🃏🦆✨|🤔🔺🦆
18,-18,0|0|0,🔺✨🦆|✨🦆🔺|🤔🔺✨
18,-18,0|0|0,✨🦆🔺|🦆🃏🔺|🃏✨🤔
18,8,1|0|25,🤔🤔🔺|🤔🦆🤔|🔺♾✨
18,20,20|0|18,🔺🔺✨|🦆✨🤔|🃏🃏🃏
18,-6,12|0|0,✨🃏🃏|🔺✨🔺|🤔🃏✨
18,-18,0|0|0,🤔🔺🃏|🦆✨🦆|🦆🦆🦆
18,-12,0|0|6,🦆✨🤔|🔺🦆🃏|✨✨🔺
18,-18,0|0|0,🔺🤔🦆|🦆🤔🃏|🔺🤔🔺
18,2,20|0|0,✨🔺🔺|✨🔺🤔|🦆🤔🦆
18,-18,0|0|0,🦆🤔🦆|✨🔺🦆|🔺🦆🤔
18,-18,0|0|0,✨🔺🤔|🤔🦆🃏|🤔✨🃏
18,-6,0|6|6,🦆🃏🤔|✨✨🤔|✨✨🤔
18,32,0|25|25,🃏🦆🔺|✨🤔♾|✨🤔♾
18,-18,0|0|0,🦆🃏🦆|🦆✨🦆|✨🃏🔺
18,-12,6|0|0,🔺✨✨|🤔🃏🔺|🤔🦆🃏
18,-18,0|0|0,🔺✨🦆|🤔🦆🤔|🃏🦆✨
18,-18,0|0|0,🤔🃏✨|🔺🤔🦆|🃏🔺🤔
18,-15,0|3|0,🦆🔺✨|🤔🤔🤔|🔺🤔🦆
18,-18,0|0|0,✨🤔✨|🃏🦆🃏|🃏🔺🦆
18,-12,0|0|6,✨🃏🦆|✨🤔✨|🦆✨✨
18,-18,0|0|0,🔺🤔🔺|✨🃏✨|✨🔺🃏
18,-18,0|0|0,🦆🦆🤔|✨🤔🃏|✨🃏🦆
18,-18,0|0|0,✨🦆✨|🤔🦆🤔|🃏🤔✨
18,-12,0|6|0,🃏🦆🤔|✨✨🦆|🤔✨🦆
18,-8,0|0|10,✨🤔✨|🦆🦆🃏|✨✨✨
18,32,0|25|25,🦆✨🔺|✨♾🦆|✨♾🦆
18,-18,0|0|0,🔺✨🤔|🃏🦆🤔|🤔🦆🤔
18,2,0|20|0,🃏🔺🃏|🤔🔺🔺|🤔🦆✨
18,8,1|0|25,🃏🤔🤔|🤔✨🤔|✨♾🦆
18,-6,0|0|12,🤔🃏✨|🦆🃏🦆|🦆🃏🃏
18,-11,0|1|6,🦆🔺🃏|🤔🤔🦆|🤔✨✨
18,7,25|0|0,🃏♾🦆|🦆🦆🤔|🤔🦆✨
18,2,0|0|20,🤔✨🃏|🦆🔺🦆|🤔🔺🔺
18,-18,0|0|0,🦆🤔🦆|✨🃏✨|🤔🃏🦆
18,-6,12|0|0,🃏🃏🦆|🦆🦆♾|🤔🦆🃏
18,-12,6|0|0,🦆✨✨|✨🦆🃏|🔺🦆✨
18,32,0|25|25,🤔🦆✨|🃏♾🔺|🃏♾🔺
18,-6,0|12|0,🃏🦆🤔|🃏🃏✨|✨🦆🃏
18,13,25|6|0,✨♾🔺|🤔✨✨|🤔✨🔺
18,27,20|0|25,🔺🔺🦆|✨🃏🤔|♾✨🔺
18,-6,0|0|12,🦆🤔🃏|🦆🃏🤔|🃏🃏🦆
18,2,0|20|0,🤔🃏🔺|🦆🔺🔺|✨🦆🦆
18,7,0|25|0,🔺🦆🃏|♾🔺✨|🤔🃏🔺
12,-12,0|0,✨🦆🃏|🦆🦆🦆
18,30,0|24|24,🤔🦆🃏|🔺🔺🔺|🔺🔺🔺
18,8,1|25|0,🤔🤔🔺|♾🦆🔺|🤔🃏✨
18,-17,1|0|0,✨🤔🤔|🤔🦆🤔|🤔✨🔺
18,13,6|0|25,🔺✨✨|✨🃏🦆|✨✨♾
18,-18,0|0|0,🤔✨🤔|🦆🤔🦆|🦆🤔🃏
18,2,20|0|0,🦆🔺🔺|🔺🃏🤔|🦆✨🦆
18,-18,0|0|0,🃏🦆✨|🃏🤔🦆|🤔🦆🤔
18,-18,0|0|0,🤔🃏🤔|🤔✨🤔|🦆🃏✨
18,-18,0|0|0,✨🤔🔺|✨🦆🦆|🔺🃏🤔
18,-12,0|0|6,🤔🔺🤔|✨🃏✨|✨✨🦆
18,-18,0|0|0,🤔✨🦆|🃏🔺🃏|✨🃏🤔
18,8,6|0|20,✨✨🤔|🤔✨🃏|🃏🔺🔺
18,-18,0|0|0,🦆🦆♾|🃏🦆🃏|🦆🤔✨
18,-6,0|0|12,🃏🦆🔺|🦆🤔🦆|🦆🃏🃏
18,-18,0|0|0,🤔🦆🤔|✨🔺🤔|🃏✨🦆
18,38,25|6|25,♾🦆🔺|✨✨🦆|♾🦆🔺
18,-18,0|0|0,🦆🃏🔺|🤔✨🃏|🦆✨🔺
18,8,1|0|25,🤔🤔🃏|🤔✨🔺|🤔🔺♾
18,7,25|0|0,🦆✨♾|🦆🤔✨|🦆🤔🔺
18,-18,0|0|0,🦆🤔🦆|🃏🦆🦆|🤔🦆✨
18,-18,0|0|0,🔺🦆✨|🔺🃏🦆|🔺🦆✨
18,0,0|0|18,✨🔺🦆|🤔✨🔺|🃏🃏🃏
18,8,25|0|1,🔺♾🦆|✨🤔🦆|🃏🤔🤔
18,-18,0|0|0,🃏✨🦆|🃏🔺🦆|🤔🔺🤔
18,-12,6|0|0,🤔✨✨|✨🦆🦆|🤔🦆🔺
12,-12,0|0,🔺✨🃏|🦆🦆🦆
18,7,0|25|0,🃏🔺✨|🤔♾🤔|🤔✨🔺
18,7,0|0|25,🦆🦆🤔|✨🦆🤔|🃏♾🤔
18,-18,0|0|0,🃏✨🦆|✨🦆🦆|🃏🦆🃏
18,-17,0|1|0,🦆✨🔺|🤔🤔🦆|🤔🦆🤔
18,7,0|0|25,🔺✨🃏|✨🃏✨|✨♾🃏
18,-12,0|0|6,🦆🃏🦆|🦆✨🔺|🔺✨✨
12,13,25|0,🃏♾✨|🦆🦆🦆
18,-18,0|0|0,🃏🦆🦆|🔺✨🃏|🃏✨🦆
18,25,25|18|0,✨♾🦆|🃏🃏🃏|🦆🃏🦆
18,-16,1|0|1,🤔🤔✨|🦆🔺✨|🤔🤔✨
18,-12,0|0|6,🔺🦆🤔|🔺🤔✨|✨✨🤔
18,2,0|20|0,✨🃏✨|🔺🔺✨|🦆🦆✨
18,-18,0|0|0,🃏🔺🃏|🦆🔺✨|🔺✨🔺
18,7,25|0|0,🦆🃏♾|🦆🤔🦆|✨🦆✨
18,-18,0|0|0,🃏🔺🦆|✨🦆✨|🦆🦆🔺
18,-18,0|0|0,🔺🃏🤔|✨🦆🦆|🦆🦆🦆
18,-18,0|0|0,✨🤔🃏|🦆✨🦆|🃏🦆🤔
18,-18,0|0|0,✨🔺🦆|🦆🃏✨|✨🦆🦆
18,-17,1|0|0,🃏🤔🤔|🦆🔺✨|🦆🦆🃏
18,-15,0|0|3,🃏🦆✨|🦆🦆🤔|🤔🤔🤔
18,39,50|1|6,🦆♾♾|🤔🤔🃏|✨✨🦆
18,2,20|0|0,🦆🔺🔺|🃏🦆🦆|🤔🦆✨
18,7,25|0|0,♾✨🤔|✨🤔🔺|🃏🤔✨
18,-12,0|6|0,🦆🔺🦆|🃏✨✨|🃏🦆🦆
18,-11,1|0|6,🦆🤔🤔|🔺🦆🦆|✨✨🦆
18,32,0|25|25,🔺🦆🤔|✨🔺♾|✨🔺♾
18,-18,0|0|0,🃏🤔🦆|🤔🔺✨|🤔🃏🤔
18,3,1|0|20,🦆🤔🤔|🔺✨🔺|🔺🔺🦆
18,2,20|0|0,🦆🔺🔺|✨🃏🤔|🃏🦆🤔
18,-17,1|0|0,🤔🤔✨|🤔🔺✨|🔺🦆🦆
6,-6,0,🦆🦆🦆
18,-18,0|0|0,🤔🃏🦆|✨🤔🦆|🦆✨🔺
18,7,25|0|0,🦆🤔♾|🦆🦆🔺|✨🦆🤔
18,7,0|0|25,🔺🦆✨|✨🔺✨|🤔♾🔺
18,7,0|25|0,✨🤔🔺|🦆♾🦆|✨🦆🦆
18,7,25|0|0,🦆♾🤔|🤔🃏🔺|🦆🔺🦆
18,13,6|25|0,🦆✨✨|🦆♾🤔|✨🦆🦆
18,13,0|6|25,🤔🔺🤔|✨✨🔺|🦆🔺♾
12,13,25|0,🦆♾🦆|🦆🦆🦆
18,13,6|25|0,✨✨🤔|🔺✨♾|🃏🦆🃏
18,-18,0|0|0,✨🤔✨|🃏✨🦆|🃏🤔🔺
18,7,0|25|0,🤔✨🔺|🦆🤔♾|✨🃏✨
18,-18,0|0|0,🃏🦆🤔|✨🦆🃏|🃏🦆🤔
18,7,25|0|0,♾🤔🤔|🔺🃏🦆|🤔🃏🦆
18,-18,0|0|0,🤔🦆✨|🔺🦆🦆|🤔🦆🔺
18,-12,0|6|0,🦆🔺✨|✨✨🤔|✨🦆🃏
18,7,25|0|0,♾🦆🤔|✨🦆🤔|✨🔺🃏
18,7,25|0|0,🃏🔺♾|🤔🦆🤔|✨🔺🤔
18,7,0|25|0,🃏🔺✨|🔺🦆♾|🔺🃏✨
18,-18,0|0|0,🔺🦆✨|🃏🤔🦆|🔺🃏🔺
18,7,25|0|0,🦆♾🔺|🦆🦆✨|🃏✨🤔
18,32,25|0|25,♾🃏✨|🔺✨🦆|♾🃏✨
18,-18,0|0|0,🦆🦆🃏|🔺🦆🤔|🃏🤔🦆
18,6,0|24|0,🃏🤔✨|🔺🔺🔺|🤔🦆🤔
18,-12,0|0|6,✨🤔🦆|🦆🤔🃏|🦆✨✨
18,8,1|25|0,🤔🤔🦆|🃏🤔♾|🃏🦆🦆
18,-12,0|0|6,🃏✨🦆|🦆✨🤔|🃏✨✨
18,8,25|1|0,🦆🔺♾|🤔🤔✨|✨🦆🃏
18,39,20|25|12,🔺🔺🃏|🦆♾🔺|🃏🃏🔺
18,8,25|0|1,♾🦆🃏|✨🔺✨|🤔🤔🦆
18,8,0|20|6,🤔🃏🦆|🔺🔺🤔|✨✨🔺
18,7,25|0|0,🤔✨♾|🃏🤔🦆|🦆🔺🦆
18,27,0|20|25,🃏🤔✨|🔺🔺🦆|♾🔺🤔
18,19,0|12|25,🦆✨🤔|✨🃏🃏|🦆🤔♾
18,-18,0|0|0,✨🃏🔺|🦆🔺🦆|🔺🦆🃏
18,8,0|25|1,🦆🃏🤔|♾🔺🔺|🦆🤔🤔
6,-6,0,🦆🦆🦆
18,-18,0|0|0,🦆🦆✨|🦆🤔🃏|🔺🦆✨
18,-17,1|0|0,🃏🤔🤔|✨🦆🤔|🤔🦆🃏
18,-18,0|0|0,🤔🃏🔺|🃏🔺✨|✨🤔🦆
18,-17,0|1|0,🦆✨🃏|🤔🤔🦆|🦆🦆♾
18,7,0|25|0,🤔✨🔺|🦆♾🦆|🦆🦆🦆
18,2,20|0|0,🔺🔺🦆|🃏🤔✨|🔺🃏🤔
18,-12,0|0|6,🃏🔺🤔|✨🤔🦆|🦆✨✨
18,7,0|0|25,🦆🔺🤔|🦆✨🤔|🦆🤔♾
18,-18,0|0|0,🦆✨🤔|🃏🤔🦆|🦆✨🦆
18,-12,0|0|6,🦆🦆✨|✨🤔🦆|✨✨🤔
18,2,0|0|20,🔺🤔🦆|🃏✨🦆|🔺🔺🃏
18,-18,0|0|0,🃏🦆🤔|🃏🔺🦆|🤔🦆🤔
18,-12,6|0|0,✨✨🦆|🤔🔺✨|🃏🤔🦆
18,8,1|0|25,🤔🤔✨|🦆🤔🔺|✨♾🔺
18,7,0|0|25,🔺🦆🦆|🦆🔺🦆|♾🦆🤔
18,7,0|25|0,🃏🦆🤔|♾✨🦆|🦆🔺✨
12,-12,0|0,🦆✨🤔|🦆🦆🦆
18,22,20|20|0,🦆🔺🔺|🦆🔺🔺|🔺✨🤔
18,-18,0|0|0,🤔🦆✨|✨🦆🃏|🔺🦆🤔
18,27,0|25|20,🃏✨🔺|♾🤔✨|🦆🔺🔺
18,-18,0|0|0,🔺✨🤔|✨🔺🃏|🦆🦆🃏
18,-18,0|0|0,🤔🃏🔺|✨🦆🦆|✨🃏🦆
18,-18,0|0|0,🤔🃏✨|🔺🤔✨|🃏🔺🃏
18,-18,0|0|0,🤔🃏🔺|✨🦆🦆|🤔🃏✨
18,-18,0|0|0,✨🔺🃏|🔺🦆🃏|✨🃏🦆
18,-18,0|0|0,🤔🦆🤔|🔺🦆🤔|🤔✨🤔
18,-18,0|0|0,✨🃏🦆|🤔🦆🦆|🃏🔺✨
18,-18,0|0|0,🦆✨🦆|✨🃏🦆|🦆🔺🦆
18,-6,6|0|6,🤔✨✨|🦆🦆🃏|🤔✨✨
18,34,25|24|3,🃏♾🔺|🔺🔺🔺|🤔🤔🤔
18,-18,0|0|0,🃏🦆🔺|🦆🦆🤔|🦆🦆🤔
18,32,25|25|0,♾🤔🤔|♾🤔🤔|🃏✨🔺
18,27,0|20|25,🤔🃏🔺|🔺🔺🤔|🤔♾🃏
18,-11,1|0|6,🤔🤔✨|🃏🦆🔺|🃏✨✨
18,10,6|12|10,✨✨🤔|🃏🃏✨|✨✨✨
18,8,1|25|0,✨🤔🤔|🦆♾✨|✨🦆🦆
18,7,25|0|0,✨♾🃏|🔺🦆✨|🃏🤔✨
18,8,1|25|0,🤔🤔🦆|🤔♾🤔|🃏🤔🦆
18,7,0|25|0,🃏🤔🦆|♾🤔✨|🤔🦆🦆
18,-2,1|3|12,🤔🤔🦆|🤔🤔🤔|🃏🃏🤔
18,-18,0|0|0,🔺🦆🤔|🔺🃏✨|🃏🦆🦆
18,-18,0|0|0,🤔🦆🃏|✨🤔🃏|🦆🤔🃏
18,8,6|0|20,✨✨🦆|🦆✨🦆|🤔🔺🔺
18,-18,0|0|0,🦆🦆🃏|🃏🦆🤔|🤔🃏🦆
18,7,25|0|0,♾🦆🤔|🦆🃏✨|🤔🦆🤔
18,0,0|18|0,🃏🔺🤔|🃏🃏🃏|🃏🔺🤔
18,31,25|12|12,✨🦆♾|🃏🃏🦆|🃏🃏🦆
18,-18,0|0|0,🔺🤔🔺|🦆🃏🔺|🦆✨🦆
18,19,12|0|25,🃏🃏🔺|🔺🃏🔺|♾🔺🦆
18,-8,0|0|10,🃏🔺🦆|🦆🦆✨|✨✨✨
18,-17,1|0|0,🔺🤔🤔|🦆🔺🃏|🃏🦆✨
18,-12,0|0|6,🦆🔺🦆|🃏🤔✨|✨✨🔺
18,-18,0|0|0,🤔✨🦆|🦆🦆✨|🦆🦆✨
18,2,0|20|0,🤔🦆🤔|🔺🔺🃏|✨🃏🤔
18,7,0|0|25,✨🔺✨|🦆🃏🤔|🔺♾🃏
18,-6,12|0|0,🤔🃏🃏|🦆🃏✨|🦆🦆🃏
18,7,25|0|0,🦆♾🃏|🦆🔺🦆|🦆🦆✨
18,7,0|0|25,🃏🔺✨|🔺🃏✨|🦆✨♾
18,0,0|18|0,🃏🤔🦆|🃏🃏🃏|🃏🦆🃏
18,-6,12|0|0,🃏🃏🦆|✨🤔🃏|🤔🔺🦆
18,-6,0|0|12,🤔🃏🤔|🦆🦆✨|🃏🃏✨
18,10,25|3|0,🦆♾🦆|🤔🤔🤔|✨🃏🤔
12,-12,0|0,🔺🃏🔺|🦆🦆🦆
18,7,0|0|25,✨🃏🦆|🤔🦆🦆|♾✨🤔
18,-18,0|0|0,🦆✨🔺|🃏🤔✨|🔺🦆🦆
18,32,25|25|0,🔺♾🤔|🔺♾🤔|🔺🃏✨
18,2,0|0|20,🦆🦆🔺|🦆🃏🔺|🦆🔺🔺
18,-18,0|0|0,✨🦆🦆|🃏🤔✨|🦆🦆🦆
18,19,0|12|25,🤔🦆🦆|✨🃏🃏|🤔🤔♾
18,7,0|25|0,🤔✨🔺|🦆♾✨|🃏🤔🦆
18,7,0|25|0,🦆✨🦆|🦆🤔♾|🃏🔺🤔
18,7,25|0|0,🦆♾🦆|🃏✨🦆|🦆🦆🦆
18,8,0|1|25,🦆🦆🃏|🦆🤔🤔|🔺♾🦆
18,20,1|12|25,🤔🤔✨|🃏🃏🔺|✨♾✨
18,44,12|25|25,✨🃏🃏|🔺🔺♾|🔺🔺♾
18,22,20|20|0,✨🔺🔺|✨🔺🔺|✨🃏✨
18,8,0|1|25,🦆🦆🤔|✨🤔🤔|✨♾🤔
18,-18,0|0|0,✨🔺✨|🦆🃏✨|✨🃏🦆
18,-18,0|0|0,🦆🤔✨|✨🦆🦆|🃏🔺🤔
18,7,0|25|0,🤔🦆🦆|♾🃏🤔|🃏✨🦆
18,-12,0|0|6,🔺🃏🤔|🦆🤔🦆|🔺✨✨
18,-15,0|3|0,🦆🦆🤔|🤔🤔🤔|🔺🤔🃏
18,7,0|25|0,🔺🦆✨|🔺♾🦆|🃏✨🦆
18,-17,0|0|1,🦆🦆🔺|🃏🦆✨|🤔🤔🃏
18,-12,6|0|0,🦆✨✨|✨🤔🔺|🦆✨🦆
18,-17,1|0|0,🦆🤔🤔|🤔🦆✨|✨🦆🃏
18,-18,0|0|0,✨🃏🦆|🔺🦆✨|✨🦆🃏
18,-18,0|0|0,🤔✨🔺|🦆🤔🃏|🤔🔺✨
18,25,12|25|6,🃏🃏🤔|🤔♾🃏|✨✨🃏
18,-17,0|0|1,🤔🦆🦆|🃏🦆✨|🔺🤔🤔
